Journal Name,SCIE,Impact Factor,Quartile,Alias,ISSN,EISSN,JIF5Years,Category
Transportation Safety and Environment,SCIE,2.7,,TRANSP SAFETY ENV,N/A,2631-4428,3.3,TRANSPORTATION SCIENCE & TECHNOLOGY|Q2|32/72
Ceramics-Switzerland,SCIE,2.7,,CERAMICS-BASEL,2571-6131,2571-6131,2.1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q3|238/438"
JOURNAL OF MATERIALS RESEARCH,SCIE,2.7,,J MATER RES,0884-2914,2044-5326,3.0,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q3|238/438"
Medicina Intensiva,SCIE,2.7,,MED INTENSIVA,0210-5691,1578-6749,2.2,CRITICAL CARE MEDICINE|Q2|22/54
EXPERT OPINION ON EMERGING DRUGS,SCIE,2.7,,EXPERT OPIN EMERG DR,1472-8214,1744-7623,2.9,PHARMACOLOGY & PHARMACY|Q2|167/354
Immunotherapy,SCIE,2.7,,IMMUNOTHERAPY-UK,1750-743X,1750-7448,2.9,IMMUNOLOGY|Q3|120/181
Journal of Electrochemical Energy Conversion and Storage,SCIE,2.7,,J ELECTROCHEM ENERGY,2381-6872,2381-6910,2.4,ENERGY & FUELS|Q3|110/170
Current Hematologic Malignancy Reports,SCIE,2.7,,CURR HEMATOL MALIG R,1558-8211,1558-822X,3.0,ONCOLOGY|Q3|163/322
Electrocatalysis,SCIE,2.7,,ELECTROCATALYSIS-US,1868-2529,1868-5994,2.7,ELECTROCHEMISTRY|Q3|23/45
TRANSPORT IN POROUS MEDIA,SCIE,2.7,,TRANSPORT POROUS MED,0169-3913,1573-1634,2.8,"ENGINEERING, CHEMICAL|Q3|86/170"
Frontiers in Medical Technology,SCIE,2.7,,FRONT MED TECHNOL,N/A,2673-3129,3.1,"ENGINEERING, BIOMEDICAL|Q3|68/122"
Nano Express,SCIE,2.7,,NANO EXPRESS,N/A,2632-959X,2.7,"PHYSICS, APPLIED|Q2|76/179"
Journal of Nanofluids,SCIE,2.7,,J NANOFLUIDS,2169-432X,2169-4338,2.0,NANOSCIENCE & NANOTECHNOLOGY|Q3|90/140
CORROSION REVIEWS,SCIE,2.7,,CORROS REV,0334-6005,2191-0316,3.4,METALLURGY & METALLURGICAL ENGINEERING|Q2|24/90
REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,SCIE,2.7,,REV ESP ENFERM DIG,1130-0108,2340-4167,2.0,GASTROENTEROLOGY & HEPATOLOGY|Q2|64/143
PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,SCIE,2.7,,PART PART SYST CHAR,0934-0866,1521-4117,2.7,NANOSCIENCE & NANOTECHNOLOGY|Q3|90/140
Fuels,SCIE,2.7,,FUELS-BASEL,N/A,2673-3994,2.6,"ENGINEERING, CHEMICAL|Q3|86/170"
Greenhouse Gases-Science and Technology,SCIE,2.7,,GREENH GASES,2152-3878,2152-3878,2.7,ENVIRONMENTAL SCIENCES|Q3|192/358
Nucleus,SCIE,2.7,,NUCLEUS-PHILA,1949-1034,1949-1042,3.1,CELL BIOLOGY|Q3|139/205
ELECTROCHEMISTRY,SCIE,2.7,,ELECTROCHEMISTRY,1344-3542,2186-2451,2.1,ELECTROCHEMISTRY|Q3|23/45
Colorectal Cancer,SCIE,2.7,,COLORECTAL CANCER,1758-194X,1758-1958,2.4,ONCOLOGY|Q3|163/322
Philosophy Psychiatry & Psychology,SCIE,2.6,,PHILOS PSYCHIATR PSY,1071-6076,1086-3303,1.3,PHILOSOPHY|N/A|N/A
JOURNAL OF INTERNATIONAL ECONOMIC LAW,SCIE,2.6,,J INT ECON LAW,1369-3034,1464-3758,3.2,LAW|Q1|15/421
International Data Privacy Law,SCIE,2.6,,INT DATA PRIV LAW,2044-3994,2044-4001,2.6,LAW|Q1|15/421
Transnational Environmental Law,SCIE,2.6,,TRANSNATL ENVIRON LA,2047-1025,2047-1033,3.7,LAW|Q1|15/421
INVENTIONES MATHEMATICAE,SCIE,2.6,,INVENT MATH,0020-9910,1432-1297,3.3,MATHEMATICS|Q1|12/489
Ornithological Applications,SCIE,2.6,,ORNITHOL APPL,0010-5422,2732-4621,2.6,ORNITHOLOGY|Q1|1/29
Heritage Science,SCIE,2.6,,HERIT SCI,2050-7445,2050-7445,2.9,SPECTROSCOPY|Q2|14/44
Family Medicine and Community Health,SCIE,2.6,,FAM MED COMMUNITY HE,2305-6983,2009-8774,5.9,PRIMARY HEALTH CARE|Q1|7/30
EAR AND HEARING,SCIE,2.6,,EAR HEARING,0196-0202,1538-4667,3.1,OTORHINOLARYNGOLOGY|Q1|6/65
European Journal of Special Needs Education,SCIE,2.6,,EUR J SPEC NEEDS EDU,0885-6257,1469-591X,2.7,"EDUCATION, SPECIAL|Q1|3/62"
European Journal of Higher Education,SCIE,2.6,,EUR J HIGH EDUC,2156-8235,2156-8243,N/A,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756
JOURNAL OF ARCHAEOLOGICAL SCIENCE,SCIE,2.6,,J ARCHAEOL SCI,0305-4403,1095-9238,3.0,"GEOSCIENCES, MULTIDISCIPLINARY|Q2|98/253"
EXPLORATIONS IN ECONOMIC HISTORY,SCIE,2.6,,EXPLOR ECON HIST,0014-4983,1090-2457,2.5,HISTORY OF SOCIAL SCIENCES|Q1|1/42
SEDIMENTOLOGY,SCIE,2.6,,SEDIMENTOLOGY,0037-0746,1365-3091,3.3,GEOLOGY|Q1|6/60
Journal of Otolaryngology-Head & Neck Surgery,SCIE,2.6,,J OTOLARYNGOL-HEAD N,1916-0216,1916-0216,2.7,OTORHINOLARYNGOLOGY|Q1|6/65
Journal of Neurologic Physical Therapy,SCIE,2.6,,J NEUROL PHYS THER,1557-0576,1557-0584,3.8,REHABILITATION|Q1|17/169
European Physical Education Review,SCIE,2.6,,EUR PHYS EDUC REV,1356-336X,1741-2749,3.0,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756
Higher Education Research & Development,SCIE,2.6,,HIGH EDUC RES DEV,0729-4360,1469-8366,4.0,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756
APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,SCIE,2.6,,APPL COMPUT HARMON A,1063-5203,1096-603X,2.5,"MATHEMATICS, APPLIED|Q1|28/331"
Physical Review Physics Education Research,SCIE,2.6,,PHYS REV PHYS EDUC R,2469-9896,2469-9896,2.8,"EDUCATION, SCIENTIFIC DISCIPLINES|Q1|20/85"
SIAM JOURNAL ON OPTIMIZATION,SCIE,2.6,,SIAM J OPTIMIZ,1052-6234,1095-7189,3.2,"MATHEMATICS, APPLIED|Q1|28/331"
E-Learning and Digital Media,SCIE,2.6,,E-LEARNING DIGITAL M,N/A,2042-7530,N/A,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756
Frontiers in Zoology,SCIE,2.6,,FRONT ZOOL,1742-9994,1742-9994,2.6,ZOOLOGY|Q1|13/180
Journal of Contemporary East Asia Studies,SCIE,2.6,,J CONTEM E ASIA STUD,2476-1028,2476-1036,N/A,AREA STUDIES|Q1|4/176
Chemistry Education Research and Practice,SCIE,2.6,,CHEM EDUC RES PRACT,1109-4028,1756-1108,2.6,"EDUCATION, SCIENTIFIC DISCIPLINES|Q1|20/85"
JUSTICE QUARTERLY,SCIE,2.6,,JUSTICE Q,0741-8825,1745-9109,3.3,CRIMINOLOGY & PENOLOGY|Q1|12/113
AMERICAN ANTHROPOLOGIST,SCIE,2.6,,AM ANTHROPOL,0002-7294,1548-1433,3.2,ANTHROPOLOGY|Q1|11/139
JOURNAL OF HIGHER EDUCATION,SCIE,2.6,,J HIGH EDUC-UK,0022-1546,1538-4640,3.8,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756
International Journal of Educational Research,SCIE,2.6,,INT J EDUC RES,0883-0355,1873-538X,3.2,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,SCIE,2.6,,OTOLARYNG HEAD NECK,0194-5998,1097-6817,3.3,SURGERY|Q1|61/290
Journal of Surgical Education,SCIE,2.6,,J SURG EDUC,1931-7204,1878-7452,2.7,SURGERY|Q1|61/290
Nuclear Engineering and Technology,SCIE,2.6,,NUCL ENG TECHNOL,1738-5733,1738-5733,2.6,NUCLEAR SCIENCE & TECHNOLOGY|Q1|7/40
STUDIES IN APPLIED MATHEMATICS,SCIE,2.6,,STUD APPL MATH,0022-2526,1467-9590,2.6,"MATHEMATICS, APPLIED|Q1|28/331"
Large-Scale Assessments in Education,SCIE,2.6,,LARGE-SCALE ASSESS E,N/A,2196-0739,4.2,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756
Studies in Educational Evaluation,SCIE,2.6,,STUD EDUC EVAL,0191-491X,N/A,2.7,"PSYCHOLOGY, EDUCATIONAL|Q2|26/74"
Frontiers in Veterinary Science,SCIE,2.6,,FRONT VET SCI,N/A,2297-1769,3.1,VETERINARY SCIENCES|Q1|22/167
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,SCIE,2.6,,J CATARACT REFR SURG,0886-3350,1873-4502,2.9,SURGERY|Q1|61/290
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,SCIE,2.6,,J AM ACAD ORTHOP SUR,1067-151X,1940-5480,3.3,SURGERY|Q1|61/290
BMC Oral Health,SCIE,2.6,,BMC ORAL HEALTH,1472-6831,1472-6831,3.2,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|39/157"
Journal of Family Nursing,SCIE,2.6,,J FAM NURS,1074-8407,1552-549X,3.6,NURSING|Q1|27/191
Nursing Philosophy,SCIE,2.6,,NURS PHILOS,1466-7681,1466-769X,2.3,NURSING|Q1|27/191
Translational Vision Science & Technology,SCIE,2.6,,TRANSL VIS SCI TECHN,2164-2591,2164-2591,3.0,OPHTHALMOLOGY|Q2|26/95
Trends in Hearing,SCIE,2.6,,TRENDS HEAR,2331-2165,2331-2165,3.3,OTORHINOLARYNGOLOGY|Q1|6/65
INSTRUCTIONAL SCIENCE,SCIE,2.6,,INSTR SCI,0020-4277,1573-1952,3.2,"PSYCHOLOGY, EDUCATIONAL|Q2|26/74"
FAMILY PROCESS,SCIE,2.6,,FAM PROCESS,0014-7370,1545-5300,3.3,"PSYCHOLOGY, CLINICAL|Q2|57/180"
Journal of Information Technology & Politics,SCIE,2.6,,J INF TECHNOL POLITI,1933-1681,1933-169X,3.3,POLITICAL SCIENCE|Q1|59/317
MIDWIFERY,SCIE,2.6,,MIDWIFERY,0266-6138,1532-3099,2.9,NURSING|Q1|27/191
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,SCIE,2.6,,EUR J IND RELAT,0959-6801,1461-7129,2.4,INDUSTRIAL RELATIONS & LABOR|Q2|18/49
ETHNICITY & HEALTH,SCIE,2.6,,ETHNIC HEALTH,1355-7858,1465-3419,2.7,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q2|145/403"
JOURNAL OF INTERPERSONAL VIOLENCE,SCIE,2.6,,J INTERPERS VIOLENCE,0886-2605,1552-6518,2.8,"PSYCHOLOGY, APPLIED|Q2|48/113"
GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,SCIE,2.6,,GOVERNANCE,0952-1895,1468-0491,3.5,PUBLIC ADMINISTRATION|Q2|28/91
Profesional de la Informacion,SCIE,2.6,,PROF INFORM,1386-6710,1699-2407,3.2,INFORMATION SCIENCE & LIBRARY SCIENCE|Q2|43/160
JOURNAL OF NONLINEAR SCIENCE,SCIE,2.6,,J NONLINEAR SCI,0938-8974,1432-1467,3.0,"PHYSICS, MATHEMATICAL|Q1|7/60"
HARVARD EDUCATIONAL REVIEW,SCIE,2.6,,HARVARD EDUC REV,0017-8055,1943-5045,3.0,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756
SPINE,SCIE,2.6,,SPINE,0362-2436,1528-1159,3.2,ORTHOPEDICS|Q1|29/136
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,SCIE,2.6,,OBSTET GYN CLIN N AM,0889-8545,1558-0474,3.9,OBSTETRICS & GYNECOLOGY|Q2|41/136
SOCIAL POLICY & ADMINISTRATION,SCIE,2.6,,SOC POLICY ADMIN,0144-5596,1467-9515,3.0,SOCIAL WORK|Q1|6/91
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,SCIE,2.6,,J JPN INT ECON,0889-1583,1095-8681,2.1,INTERNATIONAL RELATIONS|Q1|25/165
Progress in Disaster Science,SCIE,2.6,,PROG DISASTER SCI,2590-0617,2590-0617,4.3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q2|145/403"
Australian Critical Care,SCIE,2.6,,AUST CRIT CARE,1036-7314,1878-1721,3.0,NURSING|Q1|27/191
CLINICAL REHABILITATION,SCIE,2.6,,CLIN REHABIL,0269-2155,1477-0873,3.4,REHABILITATION|Q1|17/169
POPULATION RESEARCH AND POLICY REVIEW,SCIE,2.6,,POPUL RES POLICY REV,0167-5923,1573-7829,2.7,DEMOGRAPHY|Q1|8/49
Journal of the World Federation of Orthodontists,SCIE,2.6,,J WORLD FED ORTHOD,2212-4438,2212-4438,1.9,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|39/157"
MICROBES AND INFECTION,SCIE,2.6,,MICROBES INFECT,1286-4579,1769-714X,3.0,MICROBIOLOGY|Q3|92/161
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,SCIE,2.6,,AM J PHYS ANTHROPOL,0002-9483,1096-8644,2.6,EVOLUTIONARY BIOLOGY|Q2|23/54
INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,SCIE,2.6,,INT J GYNECOL OBSTET,0020-7292,1879-3479,3.5,OBSTETRICS & GYNECOLOGY|Q2|41/136
International Wound Journal,SCIE,2.6,,INT WOUND J,1742-4801,1742-481X,3.5,SURGERY|Q1|61/290
Comparative European Politics,SCIE,2.6,,COMP EUR POLIT,1472-4790,1740-388X,2.1,POLITICAL SCIENCE|Q1|59/317
Journal of Athletic Training,SCIE,2.6,,J ATHL TRAINING,1062-6050,1938-162X,3.6,SPORT SCIENCES|Q1|31/127
Journal of Genocide Research,SCIE,2.6,,J GENOCIDE RES,1462-3528,1469-9494,2.4,POLITICAL SCIENCE|Q1|59/317
Neonatology,SCIE,2.6,,NEONATOLOGY,1661-7800,1661-7819,3.2,PEDIATRICS|Q1|41/186
Neuroethics,SCIE,2.6,,NEUROETHICS-NETH,1874-5490,1874-5504,2.2,"SOCIAL SCIENCES, BIOMEDICAL|Q2|14/46"
Population Space and Place,SCIE,2.6,,POPUL SPACE PLACE,1544-8444,1544-8452,3.1,GEOGRAPHY|Q1|36/171
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,SCIE,2.6,,ARCH RATION MECH AN,0003-9527,1432-0673,3.1,MECHANICS|Q2|64/170
DOCUMENTA OPHTHALMOLOGICA,SCIE,2.6,,DOC OPHTHALMOL,0012-4486,1573-2622,2.1,OPHTHALMOLOGY|Q2|26/95
Environmental Education Research,SCIE,2.6,,ENVIRON EDUC RES,1350-4622,1469-5871,3.7,ENVIRONMENTAL STUDIES|Q2|87/182
JOURNAL OF CLINICAL LABORATORY ANALYSIS,SCIE,2.6,,J CLIN LAB ANAL,0887-8013,1098-2825,2.4,MEDICAL LABORATORY TECHNOLOGY|Q2|14/30
Patient Safety in Surgery,SCIE,2.6,,PATIENT SAF SURG,1754-9493,1754-9493,2.7,SURGERY|Q1|61/290
Entrepreneurial Business and Economics Review,SCIE,2.6,,ENTREPR BUS ECON REV,2353-883X,2353-8821,2.2,ECONOMICS|Q1|144/597
Korean Journal of Orthodontics,SCIE,2.6,,KOREAN J ORTHOD,2234-7518,2005-372X,2.3,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|39/157"
Mathematical Modelling of Natural Phenomena,SCIE,2.6,,MATH MODEL NAT PHENO,0973-5348,1760-6101,2.1,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q1|31/135"
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,SCIE,2.6,,PALAEOGEOGR PALAEOCL,0031-0182,1872-616X,2.8,PALEONTOLOGY|Q1|4/56
QUALITATIVE HEALTH RESEARCH,SCIE,2.6,,QUAL HEALTH RES,1049-7323,1552-7557,3.8,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|32/263"
Nonlinear Analysis-Modelling and Control,SCIE,2.6,,NONLINEAR ANAL-MODEL,1392-5113,2335-8963,2.1,MECHANICS|Q2|64/170
Hernia,SCIE,2.6,,HERNIA,1265-4906,1248-9204,3.1,SURGERY|Q1|61/290
Ophthalmology and Therapy,SCIE,2.6,,OPHTHALMOL THER,2193-8245,2193-6528,3.0,OPHTHALMOLOGY|Q2|26/95
Pain Physician,SCIE,2.6,,PAIN PHYSICIAN,1533-3159,N/A,3.1,CLINICAL NEUROLOGY|Q2|118/277
EUROPEAN JOURNAL OF FOREST RESEARCH,SCIE,2.6,,EUR J FOREST RES,1612-4669,1612-4677,2.8,FORESTRY|Q1|19/89
Frontiers in Psychology,SCIE,2.6,,FRONT PSYCHOL,1664-1078,1664-1078,3.3,"PSYCHOLOGY, MULTIDISCIPLINARY|Q2|56/218"
OCEANOLOGIA,SCIE,2.6,,OCEANOLOGIA,0078-3234,2300-7370,2.6,OCEANOGRAPHY|Q2|19/65
SEISMOLOGICAL RESEARCH LETTERS,SCIE,2.6,,SEISMOL RES LETT,0895-0695,1938-2057,3.1,GEOCHEMISTRY & GEOPHYSICS|Q2|35/101
CLINICAL JOURNAL OF PAIN,SCIE,2.6,,CLIN J PAIN,0749-8047,1536-5409,3.5,CLINICAL NEUROLOGY|Q2|118/277
PEDIATRIC NEPHROLOGY,SCIE,2.6,,PEDIATR NEPHROL,0931-041X,1432-198X,3.0,UROLOGY & NEPHROLOGY|Q2|40/126
Primary Care Diabetes,SCIE,2.6,,PRIM CARE DIABETES,1751-9918,1878-0210,2.4,PRIMARY HEALTH CARE|Q1|7/30
Emerging Adulthood,SCIE,2.6,,EMERG ADULTHOOD,2167-6968,2167-6984,2.6,"PSYCHOLOGY, SOCIAL|Q2|30/76"
JOURNAL OF RESEARCH IN PERSONALITY,SCIE,2.6,,J RES PERS,0092-6566,1095-7251,3.4,"PSYCHOLOGY, SOCIAL|Q2|30/76"
OCULAR IMMUNOLOGY AND INFLAMMATION,SCIE,2.6,,OCUL IMMUNOL INFLAMM,0927-3948,1744-5078,2.8,OPHTHALMOLOGY|Q2|26/95
PALEOBIOLOGY,SCIE,2.6,,PALEOBIOLOGY,0094-8373,1938-5331,2.5,PALEONTOLOGY|Q1|4/56
ESTUARINE COASTAL AND SHELF SCIENCE,SCIE,2.6,,ESTUAR COAST SHELF S,0272-7714,1096-0015,2.8,OCEANOGRAPHY|Q2|19/65
EUROPEAN SPINE JOURNAL,SCIE,2.6,,EUR SPINE J,0940-6719,1432-0932,3.1,ORTHOPEDICS|Q1|29/136
World Journal Of Emergency Medicine,SCIE,2.6,,WORLD J EMERG MED,1920-8642,1920-8642,2.4,EMERGENCY MEDICINE|Q1|12/54
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,SCIE,2.6,,AUST J AGR RESOUR EC,1364-985X,1467-8489,3.5,ECONOMICS|Q1|144/597
Geochemistry,SCIE,2.6,,GEOCHEMISTRY-GERMANY,0009-2819,1611-5864,3.2,GEOCHEMISTRY & GEOPHYSICS|Q2|35/101
Journal of Physics-Complexity,SCIE,2.6,,J PHYS-COMPLEXITY,N/A,2632-072X,2.6,"PHYSICS, MATHEMATICAL|Q1|7/60"
PSYCHOTHERAPY,SCIE,2.6,,PSYCHOTHERAPY,0033-3204,1939-1536,4.8,"PSYCHOLOGY, CLINICAL|Q2|57/180"
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,SCIE,2.6,,J FORMOS MED ASSOC,0929-6646,1876-0821,2.8,"MEDICINE, GENERAL & INTERNAL|Q1|70/325"
CRYSTENGCOMM,SCIE,2.6,,CRYSTENGCOMM,N/A,1466-8033,2.6,CRYSTALLOGRAPHY|Q1|8/33
PSYCHOTHERAPY RESEARCH,SCIE,2.6,,PSYCHOTHER RES,1050-3307,1468-4381,3.5,"PSYCHOLOGY, CLINICAL|Q2|57/180"
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,SCIE,2.6,,INT J OBSTET ANESTH,0959-289X,1532-3374,2.1,OBSTETRICS & GYNECOLOGY|Q2|41/136
Journal of Political Power,SCIE,2.6,,J POLITICAL POWER,2158-379X,2158-3803,2.1,POLITICAL SCIENCE|Q1|59/317
Sexual Medicine,SCIE,2.6,,SEX MED-UK,N/A,2050-1161,2.7,UROLOGY & NEPHROLOGY|Q2|40/126
Cartography and Geographic Information Science,SCIE,2.6,,CARTOGR GEOGR INF SC,1523-0406,1545-0465,2.3,GEOGRAPHY|Q1|36/171
Reproductive Sciences,SCIE,2.6,,REPROD SCI,1933-7191,1933-7205,2.8,REPRODUCTIVE BIOLOGY|Q2|19/39
Global Spine Journal,SCIE,2.6,,GLOB SPINE J,2192-5682,2192-5690,3.2,ORTHOPEDICS|Q1|29/136
Journal of Oral Biosciences,SCIE,2.6,,J ORAL BIOSCI,1349-0079,1880-3865,2.6,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|39/157"
Journal of Plant Interactions,SCIE,2.6,,J PLANT INTERACT,1742-9145,1742-9153,3.9,PLANT SCIENCES|Q2|87/265
PHYTOPATHOLOGY,SCIE,2.6,,PHYTOPATHOLOGY,0031-949X,1943-7684,3.3,PLANT SCIENCES|Q2|87/265
SCIENCE PROGRESS,SCIE,2.6,,SCI PROGRESS-UK,0036-8504,2047-7163,2.6,MULTIDISCIPLINARY SCIENCES|Q2|40/134
Communications in Computational Physics,SCIE,2.6,,COMMUN COMPUT PHYS,1815-2406,1991-7120,2.9,"PHYSICS, MATHEMATICAL|Q1|7/60"
EXPERIMENTAL PHYSIOLOGY,SCIE,2.6,,EXP PHYSIOL,0958-0670,1469-445X,2.8,PHYSIOLOGY|Q2|33/85
Journal of Functional Morphology and Kinesiology,SCIE,2.6,,J FUNCT MORPHOL KIN,N/A,2411-5142,N/A,SPORT SCIENCES|Q1|31/127
JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,SCIE,2.6,,J INT NEUROPSYCH SOC,1355-6177,1469-7661,2.8,PSYCHOLOGY|Q2|31/92
Mycotoxin Research,SCIE,2.6,,MYCOTOXIN RES,0178-7888,1867-1632,2.7,TOXICOLOGY|Q3|61/106
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,SCIE,2.6,,B SEISMOL SOC AM,0037-1106,1943-3573,2.7,GEOCHEMISTRY & GEOPHYSICS|Q2|35/101
MARINE GEOLOGY,SCIE,2.6,,MAR GEOL,0025-3227,1872-6151,2.8,OCEANOGRAPHY|Q2|19/65
SciPost Physics Core,SCIE,2.6,,SCIPOST PHYSICS CORE,N/A,2666-9366,2.7,"PHYSICS, MULTIDISCIPLINARY|Q2|36/110"
Folia Geographica,SCIE,2.6,,FOLIA GEOGR-SLOVAKIA,1336-6157,2454-1001,1.8,GEOGRAPHY|Q1|36/171
MARINE BIOTECHNOLOGY,SCIE,2.6,,MAR BIOTECHNOL,1436-2228,1436-2236,2.8,MARINE & FRESHWATER BIOLOGY|Q1|21/119
PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY,SCIE,2.6,,PHARM DEV TECHNOL,1083-7450,1097-9867,3.1,PHARMACOLOGY & PHARMACY|Q2|173/354
PHYSICAL REVIEW A,SCIE,2.6,,PHYS REV A,2469-9926,2469-9934,2.6,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL|Q2|14/40"
PROSTATE,SCIE,2.6,,PROSTATE,0270-4137,1097-0045,3.0,UROLOGY & NEPHROLOGY|Q2|40/126
Seminars in Thoracic and Cardiovascular Surgery,SCIE,2.6,,SEMIN THORAC CARDIOV,1043-0679,1532-9488,2.2,CARDIAC & CARDIOVASCULAR SYSTEMS|Q2|84/220
TOXICOLOGY IN VITRO,SCIE,2.6,,TOXICOL IN VITRO,0887-2333,1879-3177,2.8,TOXICOLOGY|Q3|61/106
CANCER CYTOPATHOLOGY,SCIE,2.6,,CANCER CYTOPATHOL,1934-662X,1934-6638,3.1,PATHOLOGY|Q2|35/88
EUROPEAN PHYSICAL JOURNAL A,SCIE,2.6,,EUR PHYS J A,1434-6001,1434-601X,2.5,"PHYSICS, PARTICLES & FIELDS|Q2|13/30"
GENE,SCIE,2.6,,GENE,0378-1119,1879-0038,2.7,GENETICS & HEREDITY|Q2|91/191
PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE,SCIE,2.6,,PSYCHOL PSYCHOTHER-T,1476-0835,2044-8341,3.3,"PSYCHOLOGY, CLINICAL|Q2|57/180"
SOFTWARE-PRACTICE & EXPERIENCE,SCIE,2.6,,SOFTWARE PRACT EXPER,0038-0644,1097-024X,2.5,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q2|49/131"
WORLD ECONOMY,SCIE,2.6,,WORLD ECON,0378-5920,1467-9701,2.5,INTERNATIONAL RELATIONS|Q1|25/165
BEHAVIOR GENETICS,SCIE,2.6,,BEHAV GENET,0001-8244,1573-3297,2.4,"PSYCHOLOGY, MULTIDISCIPLINARY|Q2|56/218"
BEHAVIOURAL BRAIN RESEARCH,SCIE,2.6,,BEHAV BRAIN RES,0166-4328,1872-7549,2.8,NEUROSCIENCES|Q3|176/310
Big Data,SCIE,2.6,,BIG DATA-US,2167-6461,2167-647X,4.0,"COMPUTER SCIENCE, THEORY & METHODS|Q2|45/143"
Brain and Behavior,SCIE,2.6,,BRAIN BEHAV,2162-3279,2162-3279,3.1,NEUROSCIENCES|Q3|176/310
Journal of Engineering Design and Technology,SCIE,2.6,,J ENG DES TECHNOL,1726-0531,1726-0531,2.5,"ENGINEERING, MULTIDISCIPLINARY|Q1|43/179"
JOURNAL OF NONDESTRUCTIVE EVALUATION,SCIE,2.6,,J NONDESTRUCT EVAL,0195-9298,1573-4862,2.5,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING|Q2|13/38"
International Journal of Public Health,SCIE,2.6,,INT J PUBLIC HEALTH,1661-8556,1661-8564,3.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q2|145/403"
JOURNAL OF CAREER DEVELOPMENT,SCIE,2.6,,J CAREER DEV,0894-8453,1556-0856,2.8,"PSYCHOLOGY, APPLIED|Q2|48/113"
MOLECULAR BREEDING,SCIE,2.6,,MOL BREEDING,1380-3743,1572-9788,2.7,PLANT SCIENCES|Q2|87/265
NEUROPSYCHOLOGY,SCIE,2.6,,NEUROPSYCHOLOGY,0894-4105,1931-1559,3.0,"PSYCHOLOGY, CLINICAL|Q2|57/180"
ORGANIC GEOCHEMISTRY,SCIE,2.6,,ORG GEOCHEM,0146-6380,1873-5290,3.2,GEOCHEMISTRY & GEOPHYSICS|Q2|35/101
ECOLOGICAL MODELLING,SCIE,2.6,,ECOL MODEL,0304-3800,1872-7026,2.9,ECOLOGY|Q2|73/195
Journal of Rail Transport Planning & Management,SCIE,2.6,,J RAIL TRANSPORT PLA,2210-9706,2210-9714,3.1,TRANSPORTATION|Q3|35/57
MYCOLOGIA,SCIE,2.6,,MYCOLOGIA,0027-5514,1557-2536,3.0,MYCOLOGY|Q2|15/33
Environment and Planning B-Urban Analytics and City Science,SCIE,2.6,,ENVIRON PLAN B-URBAN,2399-8083,2399-8091,3.3,URBAN STUDIES|Q2|21/77
